onset	duration	trial_type	value	sample
0.0	0.0	New Segment/	1	0
11.523	0.0	Stimulus/S200	131	11523
13.815	0.0	Stimulus/S 94	95	13815
14.915	0.0	Stimulus/S 99	100	14915
16.015	0.0	Stimulus/S104	105	16015
17.115	0.0	Stimulus/S117	118	17115
18.215	0.0	Stimulus/S129	130	18215
18.669	0.0	Stimulus/S222	132	18669
19.713	0.0	Stimulus/S102	103	19713
21.012	0.0	Stimulus/S 45	46	21012
22.212	0.0	Stimulus/S 33	34	22212
23.312	0.0	Stimulus/S 13	14	23312
24.611	0.0	Stimulus/S129	130	24611
24.877	0.0	Stimulus/S222	132	24877
26.11	0.0	Stimulus/S125	126	26110
27.31	0.0	Stimulus/S108	109	27310
28.41	0.0	Stimulus/S110	111	28410
29.609	0.0	Stimulus/S129	130	29609
29.997	0.0	Stimulus/S222	132	29997
31.109	0.0	Stimulus/S 74	75	31109
32.309	0.0	Stimulus/S111	112	32309
33.508	0.0	Stimulus/S 34	35	33508
34.608	0.0	Stimulus/S129	130	34608
34.989	0.0	Stimulus/S222	132	34989
36.107	0.0	Stimulus/S 52	53	36107
37.207	0.0	Stimulus/S 36	37	37207
38.407	0.0	Stimulus/S 50	51	38407
39.506	0.0	Stimulus/S 88	89	39506
40.606	0.0	Stimulus/S 87	88	40606
41.905	0.0	Stimulus/S129	130	41905
42.222	0.0	Stimulus/S222	132	42222
43.405	0.0	Stimulus/S 81	82	43405
44.704	0.0	Stimulus/S105	106	44704
45.904	0.0	Stimulus/S107	108	45904
47.004	0.0	Stimulus/S120	121	47004
48.303	0.0	Stimulus/S129	130	48303
48.957	0.0	Stimulus/S222	132	48957
49.803	0.0	Stimulus/S103	104	49803
51.003	0.0	Stimulus/S 52	53	51003
52.202	0.0	Stimulus/S119	120	52202
53.501	0.0	Stimulus/S  6	7	53501
54.718	0.0	Stimulus/S129	130	54718
55.086	0.0	Stimulus/S222	132	55086
56.217	0.0	Stimulus/S109	110	56217
57.317	0.0	Stimulus/S 91	92	57317
58.417	0.0	Stimulus/S 54	55	58417
59.716	0.0	Stimulus/S129	130	59716
60.03	0.0	Stimulus/S222	132	60030
61.216	0.0	Stimulus/S 82	83	61216
62.315	0.0	Stimulus/S 14	15	62315
63.415	0.0	Stimulus/S 23	24	63415
64.714	0.0	Stimulus/S129	130	64714
65.134	0.0	Stimulus/S222	132	65134
66.214	0.0	Stimulus/S125	126	66214
67.314	0.0	Stimulus/S 27	28	67314
68.513	0.0	Stimulus/S 54	55	68513
69.713	0.0	Stimulus/S129	130	69713
70.03	0.0	Stimulus/S222	132	70030
71.212	0.0	Stimulus/S  3	4	71212
72.412	0.0	Stimulus/S 67	68	72412
73.612	0.0	Stimulus/S101	102	73612
74.811	0.0	Stimulus/S129	130	74811
75.198	0.0	Stimulus/S222	132	75198
76.311	0.0	Stimulus/S117	118	76311
77.61	0.0	Stimulus/S128	129	77610
78.91	0.0	Stimulus/S 92	93	78910
80.11	0.0	Stimulus/S 97	98	80110
81.309	0.0	Stimulus/S  4	5	81309
82.509	0.0	Stimulus/S129	130	82509
82.846	0.0	Stimulus/S222	132	82846
84.008	0.0	Stimulus/S 13	14	84008
85.108	0.0	Stimulus/S 68	69	85108
86.308	0.0	Stimulus/S116	117	86308
87.607	0.0	Stimulus/S 84	85	87607
88.807	0.0	Stimulus/S120	121	88807
89.907	0.0	Stimulus/S129	130	89907
90.238	0.0	Stimulus/S222	132	90238
91.406	0.0	Stimulus/S 71	72	91406
92.705	0.0	Stimulus/S123	124	92705
94.005	0.0	Stimulus/S 52	53	94005
95.205	0.0	Stimulus/S129	130	95205
95.534	0.0	Stimulus/S222	132	95534
96.704	0.0	Stimulus/S107	108	96704
97.804	0.0	Stimulus/S 31	32	97804
98.904	0.0	Stimulus/S 40	41	98904
100.003	0.0	Stimulus/S 21	22	100003
101.202	0.0	Stimulus/S 65	66	101202
102.502	0.0	Stimulus/S129	130	102502
102.798	0.0	Stimulus/S222	132	102798
104.002	0.0	Stimulus/S 21	22	104002
105.118	0.0	Stimulus/S124	125	105118
106.4	0.0	Stimulus/S  4	5	106400
107.717	0.0	Stimulus/S129	130	107717
108.078	0.0	Stimulus/S222	132	108078
109.217	0.0	Stimulus/S114	115	109217
110.416	0.0	Stimulus/S  6	7	110416
111.516	0.0	Stimulus/S 30	31	111516
112.616	0.0	Stimulus/S129	130	112616
113.054	0.0	Stimulus/S222	132	113054
114.115	0.0	Stimulus/S 62	63	114115
115.215	0.0	Stimulus/S103	104	115215
116.514	0.0	Stimulus/S 14	15	116514
117.614	0.0	Stimulus/S 78	79	117614
118.913	0.0	Stimulus/S129	130	118913
119.294	0.0	Stimulus/S222	132	119294
120.413	0.0	Stimulus/S 23	24	120413
121.613	0.0	Stimulus/S 63	64	121613
122.912	0.0	Stimulus/S 93	94	122912
124.212	0.0	Stimulus/S 49	50	124212
125.312	0.0	Stimulus/S129	130	125312
125.678	0.0	Stimulus/S222	132	125678
126.811	0.0	Stimulus/S 12	13	126811
128.11	0.0	Stimulus/S 25	26	128110
129.31	0.0	Stimulus/S 38	39	129310
130.61	0.0	Stimulus/S 79	80	130610
131.909	0.0	Stimulus/S129	130	131909
132.222	0.0	Stimulus/S222	132	132222
133.409	0.0	Stimulus/S 27	28	133409
134.609	0.0	Stimulus/S 66	67	134609
135.908	0.0	Stimulus/S 24	25	135908
137.008	0.0	Stimulus/S129	130	137008
137.422	0.0	Stimulus/S222	132	137422
138.507	0.0	Stimulus/S115	116	138507
139.807	0.0	Stimulus/S 93	94	139807
141.007	0.0	Stimulus/S 71	72	141007
142.106	0.0	Stimulus/S 80	81	142106
143.206	0.0	Stimulus/S  9	10	143206
144.505	0.0	Stimulus/S129	130	144505
144.83	0.0	Stimulus/S222	132	144830
146.005	0.0	Stimulus/S 56	57	146005
147.205	0.0	Stimulus/S 53	54	147205
148.304	0.0	Stimulus/S112	113	148304
149.404	0.0	Stimulus/S 11	12	149404
150.703	0.0	Stimulus/S129	130	150703
151.054	0.0	Stimulus/S222	132	151054
152.203	0.0	Stimulus/S 98	99	152203
153.303	0.0	Stimulus/S 33	34	153303
154.502	0.0	Stimulus/S122	123	154502
155.601	0.0	Stimulus/S129	130	155601
156.174	0.0	Stimulus/S222	132	156174
157.118	0.0	Stimulus/S126	127	157118
158.218	0.0	Stimulus/S 10	11	158218
159.517	0.0	Stimulus/S 35	36	159517
