onset	duration	trial_type	value	sample
0.0	0.0	New Segment/	1	0
28.568	0.0	Stimulus/S200	131	28568
31.475	0.0	Stimulus/S 74	75	31475
32.774	0.0	Stimulus/S121	122	32774
33.975	0.0	Stimulus/S 67	68	33975
35.176	0.0	Stimulus/S 81	82	35176
36.474	0.0	Stimulus/S 27	28	36474
37.673	0.0	Stimulus/S129	130	37673
38.272	0.0	Stimulus/S222	132	38272
39.172	0.0	Stimulus/S 99	100	39172
40.372	0.0	Stimulus/S 55	56	40372
41.572	0.0	Stimulus/S 61	62	41572
42.871	0.0	Stimulus/S112	113	42871
44.171	0.0	Stimulus/S129	130	44171
44.928	0.0	Stimulus/S222	132	44928
45.67	0.0	Stimulus/S 31	32	45670
46.87	0.0	Stimulus/S115	116	46870
48.07	0.0	Stimulus/S120	121	48070
49.369	0.0	Stimulus/S 10	11	49369
50.668	0.0	Stimulus/S 27	28	50668
51.968	0.0	Stimulus/S129	130	51968
52.656	0.0	Stimulus/S222	132	52656
53.468	0.0	Stimulus/S 53	54	53468
54.568	0.0	Stimulus/S104	105	54568
55.667	0.0	Stimulus/S 70	71	55667
56.867	0.0	Stimulus/S129	130	56867
57.456	0.0	Stimulus/S222	132	57456
58.366	0.0	Stimulus/S127	128	58366
59.666	0.0	Stimulus/S 91	92	59666
60.965	0.0	Stimulus/S 17	18	60965
62.065	0.0	Stimulus/S129	130	62065
62.48	0.0	Stimulus/S222	132	62480
63.564	0.0	Stimulus/S 41	42	63564
64.664	0.0	Stimulus/S110	111	64664
65.963	0.0	Stimulus/S119	120	65963
67.063	0.0	Stimulus/S 89	90	67063
68.363	0.0	Stimulus/S108	109	68363
69.563	0.0	Stimulus/S129	130	69563
70.064	0.0	Stimulus/S222	132	70064
71.062	0.0	Stimulus/S 76	77	71062
72.278	0.0	Stimulus/S 65	66	72278
73.578	0.0	Stimulus/S 34	35	73578
74.877	0.0	Stimulus/S 59	60	74877
76.077	0.0	Stimulus/S128	129	76077
77.277	0.0	Stimulus/S129	130	77277
77.792	0.0	Stimulus/S222	132	77792
78.776	0.0	Stimulus/S 95	96	78776
79.976	0.0	Stimulus/S 31	32	79976
81.075	0.0	Stimulus/S 73	74	81075
82.175	0.0	Stimulus/S129	130	82175
82.608	0.0	Stimulus/S222	132	82608
83.674	0.0	Stimulus/S 45	46	83674
84.874	0.0	Stimulus/S 42	43	84874
85.974	0.0	Stimulus/S 29	30	85974
87.174	0.0	Stimulus/S 65	66	87174
88.273	0.0	Stimulus/S129	130	88273
88.704	0.0	Stimulus/S222	132	88704
89.772	0.0	Stimulus/S108	109	89772
90.872	0.0	Stimulus/S  7	8	90872
92.172	0.0	Stimulus/S 47	48	92172
93.372	0.0	Stimulus/S114	115	93372
94.571	0.0	Stimulus/S129	130	94571
95.024	0.0	Stimulus/S222	132	95024
96.07	0.0	Stimulus/S  7	8	96070
97.27	0.0	Stimulus/S 35	36	97270
98.37	0.0	Stimulus/S104	105	98370
99.669	0.0	Stimulus/S129	130	99669
100.256	0.0	Stimulus/S222	132	100256
101.169	0.0	Stimulus/S 54	55	101169
102.468	0.0	Stimulus/S125	126	102468
103.568	0.0	Stimulus/S 98	99	103568
104.668	0.0	Stimulus/S 94	95	104668
105.768	0.0	Stimulus/S129	130	105768
106.336	0.0	Stimulus/S222	132	106336
107.267	0.0	Stimulus/S 14	15	107267
108.467	0.0	Stimulus/S112	113	108467
109.666	0.0	Stimulus/S 77	78	109666
110.766	0.0	Stimulus/S 17	18	110766
111.966	0.0	Stimulus/S 70	71	111966
113.265	0.0	Stimulus/S129	130	113265
113.68	0.0	Stimulus/S222	132	113680
114.764	0.0	Stimulus/S 40	41	114764
115.964	0.0	Stimulus/S 95	96	115964
117.064	0.0	Stimulus/S 80	81	117064
118.164	0.0	Stimulus/S 60	61	118164
119.363	0.0	Stimulus/S129	130	119363
119.792	0.0	Stimulus/S222	132	119792
120.862	0.0	Stimulus/S 50	51	120862
121.962	0.0	Stimulus/S 28	29	121962
123.278	0.0	Stimulus/S 78	79	123278
124.378	0.0	Stimulus/S 48	49	124378
125.677	0.0	Stimulus/S129	130	125677
126.096	0.0	Stimulus/S222	132	126096
127.177	0.0	Stimulus/S128	129	127177
128.277	0.0	Stimulus/S 44	45	128277
129.376	0.0	Stimulus/S 75	76	129376
130.476	0.0	Stimulus/S 54	55	130476
