onset	duration	trial_type	value	sample
0.0	0.0	New Segment/	1	0
295.144	0.0	Stimulus/S200	131	295144
298.054	0.0	Stimulus/S123	124	298054
299.155	0.0	Stimulus/S 10	11	299155
300.354	0.0	Stimulus/S 37	38	300354
301.555	0.0	Stimulus/S 11	12	301555
302.754	0.0	Stimulus/S129	130	302754
303.127	0.0	Stimulus/S222	132	303127
304.252	0.0	Stimulus/S 19	20	304252
305.552	0.0	Stimulus/S 37	38	305552
306.652	0.0	Stimulus/S 62	63	306652
307.951	0.0	Stimulus/S129	130	307951
308.375	0.0	Stimulus/S222	132	308375
309.45	0.0	Stimulus/S 10	11	309450
310.55	0.0	Stimulus/S 21	22	310550
311.65	0.0	Stimulus/S 57	58	311650
312.85	0.0	Stimulus/S129	130	312850
313.367	0.0	Stimulus/S222	132	313367
314.349	0.0	Stimulus/S105	106	314349
315.549	0.0	Stimulus/S119	120	315549
316.748	0.0	Stimulus/S 11	12	316748
317.948	0.0	Stimulus/S129	130	317948
318.263	0.0	Stimulus/S222	132	318263
319.447	0.0	Stimulus/S110	111	319447
320.747	0.0	Stimulus/S 58	59	320747
322.047	0.0	Stimulus/S 50	51	322047
323.246	0.0	Stimulus/S125	126	323246
324.546	0.0	Stimulus/S 15	16	324546
325.845	0.0	Stimulus/S129	130	325845
326.152	0.0	Stimulus/S222	132	326152
327.345	0.0	Stimulus/S 91	92	327345
328.644	0.0	Stimulus/S127	128	328644
329.944	0.0	Stimulus/S 92	93	329944
331.243	0.0	Stimulus/S100	101	331243
332.443	0.0	Stimulus/S129	130	332443
332.855	0.0	Stimulus/S222	132	332855
333.942	0.0	Stimulus/S 94	95	333942
335.143	0.0	Stimulus/S 11	12	335143
336.442	0.0	Stimulus/S 23	24	336442
337.741	0.0	Stimulus/S 25	26	337741
338.858	0.0	Stimulus/S 77	78	338858
340.157	0.0	Stimulus/S129	130	340157
340.487	0.0	Stimulus/S222	132	340487
341.657	0.0	Stimulus/S  7	8	341657
342.856	0.0	Stimulus/S 94	95	342856
344.056	0.0	Stimulus/S 56	57	344056
345.256	0.0	Stimulus/S129	130	345256
345.719	0.0	Stimulus/S222	132	345719
346.755	0.0	Stimulus/S128	129	346755
347.955	0.0	Stimulus/S 22	23	347955
349.054	0.0	Stimulus/S 43	44	349054
350.154	0.0	Stimulus/S 30	31	350154
351.254	0.0	Stimulus/S 88	89	351254
352.553	0.0	Stimulus/S129	130	352553
352.887	0.0	Stimulus/S222	132	352887
354.052	0.0	Stimulus/S 86	87	354052
355.352	0.0	Stimulus/S 45	46	355352
356.452	0.0	Stimulus/S 97	98	356452
357.751	0.0	Stimulus/S129	130	357751
358.295	0.0	Stimulus/S222	132	358295
359.251	0.0	Stimulus/S 64	65	359251
360.451	0.0	Stimulus/S 26	27	360451
361.65	0.0	Stimulus/S 84	85	361650
362.85	0.0	Stimulus/S124	125	362850
363.95	0.0	Stimulus/S129	130	363950
364.264	0.0	Stimulus/S222	132	364264
365.449	0.0	Stimulus/S 36	37	365449
366.748	0.0	Stimulus/S123	124	366748
367.849	0.0	Stimulus/S105	106	367849
368.948	0.0	Stimulus/S 20	21	368948
370.048	0.0	Stimulus/S100	101	370048
371.347	0.0	Stimulus/S129	130	371347
371.624	0.0	Stimulus/S222	132	371624
372.846	0.0	Stimulus/S  4	5	372846
373.946	0.0	Stimulus/S120	121	373946
375.146	0.0	Stimulus/S 58	59	375146
376.445	0.0	Stimulus/S129	130	376445
377.176	0.0	Stimulus/S222	132	377176
377.945	0.0	Stimulus/S 34	35	377945
379.045	0.0	Stimulus/S 80	81	379045
380.144	0.0	Stimulus/S 51	52	380144
381.444	0.0	Stimulus/S 85	86	381444
382.544	0.0	Stimulus/S129	130	382544
