onset	duration	trial_type	value	sample
0.0	0.0	New Segment/	1	0
211.475	0.0	Stimulus/S200	131	211475
213.775	0.0	Stimulus/S 53	54	213775
215.074	0.0	Stimulus/S101	102	215074
216.374	0.0	Stimulus/S113	114	216374
217.575	0.0	Stimulus/S 35	36	217575
218.775	0.0	Stimulus/S 78	79	218775
219.973	0.0	Stimulus/S129	130	219973
220.306	0.0	Stimulus/S222	132	220306
221.472	0.0	Stimulus/S102	103	221472
222.572	0.0	Stimulus/S 40	41	222572
223.871	0.0	Stimulus/S126	127	223871
225.171	0.0	Stimulus/S 68	69	225171
226.371	0.0	Stimulus/S129	130	226371
226.674	0.0	Stimulus/S222	132	226674
227.87	0.0	Stimulus/S128	129	227870
228.97	0.0	Stimulus/S124	125	228970
230.07	0.0	Stimulus/S121	122	230070
231.269	0.0	Stimulus/S 23	24	231269
232.369	0.0	Stimulus/S129	130	232369
232.77	0.0	Stimulus/S222	132	232770
233.868	0.0	Stimulus/S 95	96	233868
235.168	0.0	Stimulus/S 15	16	235168
236.467	0.0	Stimulus/S 33	34	236467
237.567	0.0	Stimulus/S 17	18	237567
238.667	0.0	Stimulus/S129	130	238667
238.946	0.0	Stimulus/S222	132	238946
240.166	0.0	Stimulus/S  4	5	240166
241.366	0.0	Stimulus/S 60	61	241366
242.466	0.0	Stimulus/S 69	70	242466
243.765	0.0	Stimulus/S127	128	243765
244.965	0.0	Stimulus/S129	130	244965
245.234	0.0	Stimulus/S222	132	245234
246.464	0.0	Stimulus/S 41	42	246464
247.564	0.0	Stimulus/S 36	37	247564
248.664	0.0	Stimulus/S  9	10	248664
249.963	0.0	Stimulus/S 19	20	249963
251.163	0.0	Stimulus/S129	130	251163
251.538	0.0	Stimulus/S222	132	251538
252.662	0.0	Stimulus/S 68	69	252662
253.961	0.0	Stimulus/S 86	87	253961
255.178	0.0	Stimulus/S 22	23	255178
256.378	0.0	Stimulus/S 58	59	256378
257.677	0.0	Stimulus/S 69	70	257677
258.777	0.0	Stimulus/S129	130	258777
259.122	0.0	Stimulus/S222	132	259122
260.276	0.0	Stimulus/S126	127	260276
261.376	0.0	Stimulus/S 22	23	261376
262.476	0.0	Stimulus/S 82	83	262476
263.775	0.0	Stimulus/S100	101	263775
265.075	0.0	Stimulus/S129	130	265075
265.442	0.0	Stimulus/S222	132	265442
266.574	0.0	Stimulus/S 91	92	266574
267.874	0.0	Stimulus/S 94	95	267874
269.074	0.0	Stimulus/S 98	99	269074
270.273	0.0	Stimulus/S 43	44	270273
271.473	0.0	Stimulus/S 54	55	271473
272.572	0.0	Stimulus/S129	130	272572
272.898	0.0	Stimulus/S222	132	272898
274.072	0.0	Stimulus/S 36	37	274072
275.272	0.0	Stimulus/S105	106	275272
276.371	0.0	Stimulus/S121	122	276371
277.471	0.0	Stimulus/S 46	47	277471
278.571	0.0	Stimulus/S 72	73	278571
279.77	0.0	Stimulus/S129	130	279770
280.146	0.0	Stimulus/S222	132	280146
281.269	0.0	Stimulus/S 88	89	281269
282.569	0.0	Stimulus/S123	124	282569
283.669	0.0	Stimulus/S104	105	283669
284.869	0.0	Stimulus/S129	130	284869
285.346	0.0	Stimulus/S222	132	285346
286.368	0.0	Stimulus/S 17	18	286368
287.468	0.0	Stimulus/S 84	85	287468
288.667	0.0	Stimulus/S  6	7	288667
289.867	0.0	Stimulus/S 75	76	289867
290.966	0.0	Stimulus/S129	130	290966
291.33	0.0	Stimulus/S222	132	291330
292.466	0.0	Stimulus/S106	107	292466
293.765	0.0	Stimulus/S 26	27	293765
294.865	0.0	Stimulus/S 81	82	294865
296.164	0.0	Stimulus/S129	130	296164
296.466	0.0	Stimulus/S222	132	296466
297.664	0.0	Stimulus/S 87	88	297664
298.864	0.0	Stimulus/S 99	100	298864
299.964	0.0	Stimulus/S108	109	299964
301.263	0.0	Stimulus/S 54	55	301263
302.562	0.0	Stimulus/S 25	26	302562
303.762	0.0	Stimulus/S129	130	303762
304.066	0.0	Stimulus/S222	132	304066
305.261	0.0	Stimulus/S 59	60	305261
306.378	0.0	Stimulus/S 18	19	306378
307.478	0.0	Stimulus/S  2	3	307478
308.777	0.0	Stimulus/S129	130	308777
309.154	0.0	Stimulus/S222	132	309154
310.277	0.0	Stimulus/S111	112	310277
311.576	0.0	Stimulus/S 77	78	311576
312.776	0.0	Stimulus/S124	125	312776
314.075	0.0	Stimulus/S 63	64	314075
315.375	0.0	Stimulus/S129	130	315375
315.682	0.0	Stimulus/S222	132	315682
316.874	0.0	Stimulus/S 18	19	316874
318.174	0.0	Stimulus/S 39	40	318174
319.274	0.0	Stimulus/S 54	55	319274
320.374	0.0	Stimulus/S112	113	320374
321.573	0.0	Stimulus/S 12	13	321573
322.773	0.0	Stimulus/S129	130	322773
323.074	0.0	Stimulus/S222	132	323074
324.272	0.0	Stimulus/S125	126	324272
325.572	0.0	Stimulus/S 13	14	325572
326.672	0.0	Stimulus/S 39	40	326672
327.871	0.0	Stimulus/S 65	66	327871
329.071	0.0	Stimulus/S129	130	329071
329.394	0.0	Stimulus/S222	132	329394
330.57	0.0	Stimulus/S 56	57	330570
331.87	0.0	Stimulus/S 47	48	331870
333.07	0.0	Stimulus/S 48	49	333070
334.269	0.0	Stimulus/S 91	92	334269
335.469	0.0	Stimulus/S129	130	335469
335.73	0.0	Stimulus/S222	132	335730
336.968	0.0	Stimulus/S 76	77	336968
338.068	0.0	Stimulus/S 82	83	338068
339.167	0.0	Stimulus/S 59	60	339167
340.267	0.0	Stimulus/S 62	63	340267
341.467	0.0	Stimulus/S129	130	341467
341.714	0.0	Stimulus/S222	132	341714
342.966	0.0	Stimulus/S 97	98	342966
344.266	0.0	Stimulus/S 44	45	344266
345.565	0.0	Stimulus/S 70	71	345565
346.665	0.0	Stimulus/S  7	8	346665
347.765	0.0	Stimulus/S129	130	347765
348.05	0.0	Stimulus/S222	132	348050
349.264	0.0	Stimulus/S 23	24	349264
350.464	0.0	Stimulus/S 85	86	350464
351.564	0.0	Stimulus/S  5	6	351564
352.763	0.0	Stimulus/S129	130	352763
353.122	0.0	Stimulus/S222	132	353122
354.262	0.0	Stimulus/S 93	94	354262
355.561	0.0	Stimulus/S 57	58	355561
356.778	0.0	Stimulus/S 38	39	356778
357.978	0.0	Stimulus/S129	130	357978
358.306	0.0	Stimulus/S222	132	358306
359.477	0.0	Stimulus/S 29	30	359477
360.777	0.0	Stimulus/S115	116	360777
362.076	0.0	Stimulus/S109	110	362076
363.277	0.0	Stimulus/S 71	72	363277
364.476	0.0	Stimulus/S108	109	364476
365.575	0.0	Stimulus/S129	130	365575
365.922	0.0	Stimulus/S222	132	365922
367.075	0.0	Stimulus/S 60	61	367075
368.374	0.0	Stimulus/S 78	79	368374
369.574	0.0	Stimulus/S 76	77	369574
370.874	0.0	Stimulus/S101	102	370874
371.974	0.0	Stimulus/S129	130	371974
372.338	0.0	Stimulus/S222	132	372338
373.473	0.0	Stimulus/S 45	46	373473
374.673	0.0	Stimulus/S120	121	374673
375.772	0.0	Stimulus/S110	111	375772
377.072	0.0	Stimulus/S129	130	377072
377.362	0.0	Stimulus/S222	132	377362
378.571	0.0	Stimulus/S 31	32	378571
379.871	0.0	Stimulus/S 72	73	379871
380.971	0.0	Stimulus/S112	113	380971
382.17	0.0	Stimulus/S120	121	382170
383.47	0.0	Stimulus/S129	130	383470
383.762	0.0	Stimulus/S222	132	383762
384.969	0.0	Stimulus/S 59	60	384969
386.268	0.0	Stimulus/S 28	29	386268
387.368	0.0	Stimulus/S 15	16	387368
388.468	0.0	Stimulus/S 89	90	388468
389.767	0.0	Stimulus/S 35	36	389767
390.867	0.0	Stimulus/S129	130	390867
391.138	0.0	Stimulus/S222	132	391138
392.367	0.0	Stimulus/S 33	34	392367
393.567	0.0	Stimulus/S 36	37	393567
394.666	0.0	Stimulus/S 42	43	394666
395.766	0.0	Stimulus/S 77	78	395766
397.065	0.0	Stimulus/S 30	31	397065
398.365	0.0	Stimulus/S129	130	398365
398.674	0.0	Stimulus/S222	132	398674
399.864	0.0	Stimulus/S 62	63	399864
400.964	0.0	Stimulus/S  7	8	400964
402.164	0.0	Stimulus/S104	105	402164
403.263	0.0	Stimulus/S129	130	403263
403.763	0.0	Stimulus/S222	132	403763
404.763	0.0	Stimulus/S 52	53	404763
406.079	0.0	Stimulus/S 16	17	406079
407.378	0.0	Stimulus/S 14	15	407378
408.678	0.0	Stimulus/S129	130	408678
409.026	0.0	Stimulus/S222	132	409026
410.177	0.0	Stimulus/S 50	51	410177
411.277	0.0	Stimulus/S 46	47	411277
412.477	0.0	Stimulus/S103	104	412477
413.677	0.0	Stimulus/S129	130	413677
414.002	0.0	Stimulus/S222	132	414002
415.176	0.0	Stimulus/S 61	62	415176
416.376	0.0	Stimulus/S 20	21	416376
417.476	0.0	Stimulus/S 32	33	417476
418.575	0.0	Stimulus/S 25	26	418575
419.775	0.0	Stimulus/S129	130	419775
420.098	0.0	Stimulus/S222	132	420098
421.274	0.0	Stimulus/S 14	15	421274
422.573	0.0	Stimulus/S113	114	422573
423.873	0.0	Stimulus/S  9	10	423873
424.973	0.0	Stimulus/S125	126	424973
426.173	0.0	Stimulus/S 99	100	426173
427.272	0.0	Stimulus/S129	130	427272
427.555	0.0	Stimulus/S222	132	427555
428.771	0.0	Stimulus/S 32	33	428771
429.971	0.0	Stimulus/S 87	88	429971
431.271	0.0	Stimulus/S102	103	431271
432.471	0.0	Stimulus/S 52	53	432471
433.67	0.0	Stimulus/S129	130	433670
434.003	0.0	Stimulus/S222	132	434003
435.169	0.0	Stimulus/S110	111	435169
436.469	0.0	Stimulus/S 27	28	436469
437.669	0.0	Stimulus/S 11	12	437669
438.968	0.0	Stimulus/S129	130	438968
439.282	0.0	Stimulus/S222	132	439282
440.468	0.0	Stimulus/S 84	85	440468
441.767	0.0	Stimulus/S  5	6	441767
443.067	0.0	Stimulus/S 53	54	443067
444.167	0.0	Stimulus/S129	130	444167
444.483	0.0	Stimulus/S222	132	444483
445.666	0.0	Stimulus/S 67	68	445666
446.966	0.0	Stimulus/S 85	86	446966
448.265	0.0	Stimulus/S118	119	448265
449.465	0.0	Stimulus/S 11	12	449465
450.565	0.0	Stimulus/S 13	14	450565
451.764	0.0	Stimulus/S129	130	451764
452.035	0.0	Stimulus/S222	132	452035
453.264	0.0	Stimulus/S128	129	453264
454.364	0.0	Stimulus/S  4	5	454364
455.663	0.0	Stimulus/S103	104	455663
456.979	0.0	Stimulus/S129	130	456979
457.442	0.0	Stimulus/S222	132	457442
458.478	0.0	Stimulus/S 51	52	458478
459.678	0.0	Stimulus/S 58	59	459678
460.878	0.0	Stimulus/S  3	4	460878
462.177	0.0	Stimulus/S129	130	462177
462.467	0.0	Stimulus/S222	132	462467
463.677	0.0	Stimulus/S 34	35	463677
464.877	0.0	Stimulus/S 75	76	464877
465.976	0.0	Stimulus/S125	126	465976
467.276	0.0	Stimulus/S129	130	467276
467.587	0.0	Stimulus/S222	132	467587
468.775	0.0	Stimulus/S 83	84	468775
469.875	0.0	Stimulus/S 88	89	469875
470.975	0.0	Stimulus/S122	123	470975
472.074	0.0	Stimulus/S129	130	472074
472.371	0.0	Stimulus/S222	132	472371
473.574	0.0	Stimulus/S 89	90	473574
474.674	0.0	Stimulus/S 43	44	474674
475.873	0.0	Stimulus/S 45	46	475873
477.172	0.0	Stimulus/S 55	56	477172
478.272	0.0	Stimulus/S 56	57	478272
479.472	0.0	Stimulus/S129	130	479472
479.731	0.0	Stimulus/S222	132	479731
480.971	0.0	Stimulus/S 58	59	480971
482.171	0.0	Stimulus/S 76	77	482171
483.371	0.0	Stimulus/S 90	91	483371
484.47	0.0	Stimulus/S 75	76	484470
485.67	0.0	Stimulus/S129	130	485670
486.035	0.0	Stimulus/S222	132	486035
487.169	0.0	Stimulus/S 57	58	487169
488.269	0.0	Stimulus/S 88	89	488269
489.369	0.0	Stimulus/S 70	71	489369
490.569	0.0	Stimulus/S129	130	490569
490.883	0.0	Stimulus/S222	132	490883
492.068	0.0	Stimulus/S 85	86	492068
493.268	0.0	Stimulus/S103	104	493268
494.467	0.0	Stimulus/S 51	52	494467
495.766	0.0	Stimulus/S100	101	495766
