onset	duration	trial_type	value	sample
0.0	0.0	New Segment/	1	0
176.521	0.0	Stimulus/S200	131	176521
178.809	0.0	Stimulus/S 30	31	178809
179.91	0.0	Stimulus/S 34	35	179910
181.009	0.0	Stimulus/S 39	40	181009
182.308	0.0	Stimulus/S129	130	182308
182.763	0.0	Stimulus/S222	132	182763
183.808	0.0	Stimulus/S 29	30	183808
185.107	0.0	Stimulus/S 97	98	185107
186.406	0.0	Stimulus/S 69	70	186406
187.706	0.0	Stimulus/S129	130	187706
188.251	0.0	Stimulus/S222	132	188251
189.205	0.0	Stimulus/S 82	83	189205
190.505	0.0	Stimulus/S 68	69	190505
191.705	0.0	Stimulus/S  9	10	191705
192.905	0.0	Stimulus/S115	116	192905
194.004	0.0	Stimulus/S 12	13	194004
195.104	0.0	Stimulus/S129	130	195104
195.467	0.0	Stimulus/S222	132	195467
196.603	0.0	Stimulus/S 89	90	196603
197.703	0.0	Stimulus/S 11	12	197703
198.903	0.0	Stimulus/S107	108	198903
200.102	0.0	Stimulus/S 96	97	200102
201.401	0.0	Stimulus/S104	105	201401
202.601	0.0	Stimulus/S129	130	202601
203.083	0.0	Stimulus/S222	132	203083
204.101	0.0	Stimulus/S121	122	204101
205.301	0.0	Stimulus/S110	111	205301
206.4	0.0	Stimulus/S106	107	206400
207.699	0.0	Stimulus/S108	109	207699
208.899	0.0	Stimulus/S115	116	208899
209.999	0.0	Stimulus/S129	130	209999
210.411	0.0	Stimulus/S222	132	210411
211.498	0.0	Stimulus/S 90	91	211498
212.698	0.0	Stimulus/S107	108	212698
213.898	0.0	Stimulus/S118	119	213898
215.098	0.0	Stimulus/S 55	56	215098
216.397	0.0	Stimulus/S 88	89	216397
217.497	0.0	Stimulus/S129	130	217497
217.835	0.0	Stimulus/S222	132	217835
218.996	0.0	Stimulus/S 46	47	218996
220.112	0.0	Stimulus/S 49	50	220112
221.312	0.0	Stimulus/S 97	98	221312
222.512	0.0	Stimulus/S129	130	222512
223.115	0.0	Stimulus/S222	132	223115
224.011	0.0	Stimulus/S 78	79	224011
225.111	0.0	Stimulus/S 59	60	225111
226.21	0.0	Stimulus/S 19	20	226210
227.31	0.0	Stimulus/S 10	11	227310
228.41	0.0	Stimulus/S 43	44	228410
229.509	0.0	Stimulus/S129	130	229509
229.851	0.0	Stimulus/S222	132	229851
231.009	0.0	Stimulus/S 35	36	231009
232.208	0.0	Stimulus/S 51	52	232208
233.508	0.0	Stimulus/S 91	92	233508
234.807	0.0	Stimulus/S  7	8	234807
235.907	0.0	Stimulus/S129	130	235907
236.299	0.0	Stimulus/S222	132	236299
237.406	0.0	Stimulus/S 21	22	237406
238.706	0.0	Stimulus/S 94	95	238706
239.806	0.0	Stimulus/S 77	78	239806
240.906	0.0	Stimulus/S129	130	240906
241.371	0.0	Stimulus/S222	132	241371
242.405	0.0	Stimulus/S 44	45	242405
243.704	0.0	Stimulus/S 87	88	243704
245.004	0.0	Stimulus/S 34	35	245004
246.104	0.0	Stimulus/S 63	64	246104
247.204	0.0	Stimulus/S129	130	247204
247.643	0.0	Stimulus/S222	132	247643
248.703	0.0	Stimulus/S 96	97	248703
250.002	0.0	Stimulus/S 19	20	250002
251.102	0.0	Stimulus/S 17	18	251102
252.402	0.0	Stimulus/S 20	21	252402
253.502	0.0	Stimulus/S 20	21	253502
254.601	0.0	Stimulus/S129	130	254601
254.987	0.0	Stimulus/S222	132	254987
256.1	0.0	Stimulus/S109	110	256100
257.3	0.0	Stimulus/S 56	57	257300
258.6	0.0	Stimulus/S 50	51	258600
259.899	0.0	Stimulus/S 33	34	259899
261.199	0.0	Stimulus/S129	130	261199
261.611	0.0	Stimulus/S222	132	261611
262.698	0.0	Stimulus/S 83	84	262698
263.798	0.0	Stimulus/S 70	71	263798
265.097	0.0	Stimulus/S119	120	265097
266.298	0.0	Stimulus/S 84	85	266298
267.497	0.0	Stimulus/S129	130	267497
267.979	0.0	Stimulus/S222	132	267979
