onset	duration	trial_type	value	sample
0.0	0.0	New Segment/	1	0
199.038	0.0	Stimulus/S200	131	199038
201.312	0.0	Stimulus/S125	126	201312
202.412	0.0	Stimulus/S 90	91	202412
203.511	0.0	Stimulus/S 57	58	203511
204.612	0.0	Stimulus/S 41	42	204612
205.911	0.0	Stimulus/S124	125	205911
207.11	0.0	Stimulus/S129	130	207110
207.463	0.0	Stimulus/S222	132	207463
208.609	0.0	Stimulus/S  4	5	208609
209.909	0.0	Stimulus/S117	118	209909
211.109	0.0	Stimulus/S113	114	211109
212.209	0.0	Stimulus/S129	130	212209
212.615	0.0	Stimulus/S222	132	212615
213.708	0.0	Stimulus/S113	114	213708
214.808	0.0	Stimulus/S 33	34	214808
216.107	0.0	Stimulus/S 53	54	216107
217.207	0.0	Stimulus/S106	107	217207
218.506	0.0	Stimulus/S 87	88	218506
219.606	0.0	Stimulus/S129	130	219606
219.991	0.0	Stimulus/S222	132	219991
221.105	0.0	Stimulus/S 67	68	221105
222.305	0.0	Stimulus/S 65	66	222305
223.605	0.0	Stimulus/S127	128	223605
224.904	0.0	Stimulus/S129	130	224904
225.303	0.0	Stimulus/S222	132	225303
226.404	0.0	Stimulus/S104	105	226404
227.604	0.0	Stimulus/S 23	24	227604
228.703	0.0	Stimulus/S 39	40	228703
230.003	0.0	Stimulus/S  5	6	230003
231.302	0.0	Stimulus/S129	130	231302
231.671	0.0	Stimulus/S222	132	231671
232.802	0.0	Stimulus/S 39	40	232802
234.101	0.0	Stimulus/S 31	32	234101
235.201	0.0	Stimulus/S 58	59	235201
236.401	0.0	Stimulus/S129	130	236401
236.775	0.0	Stimulus/S222	132	236775
237.9	0.0	Stimulus/S109	110	237900
239.1	0.0	Stimulus/S110	111	239100
240.3	0.0	Stimulus/S 23	24	240300
241.399	0.0	Stimulus/S 75	76	241399
242.615	0.0	Stimulus/S 39	40	242615
243.715	0.0	Stimulus/S129	130	243715
244.039	0.0	Stimulus/S222	132	244039
245.214	0.0	Stimulus/S  9	10	245214
246.514	0.0	Stimulus/S 83	84	246514
247.813	0.0	Stimulus/S 70	71	247813
248.913	0.0	Stimulus/S 26	27	248913
250.213	0.0	Stimulus/S129	130	250213
250.727	0.0	Stimulus/S222	132	250727
251.712	0.0	Stimulus/S 48	49	251712
253.012	0.0	Stimulus/S 91	92	253012
254.311	0.0	Stimulus/S 22	23	254311
255.611	0.0	Stimulus/S 22	23	255611
256.711	0.0	Stimulus/S 60	61	256711
258.01	0.0	Stimulus/S129	130	258010
258.439	0.0	Stimulus/S222	132	258439
259.51	0.0	Stimulus/S 12	13	259510
260.71	0.0	Stimulus/S 67	68	260710
261.909	0.0	Stimulus/S 64	65	261909
263.109	0.0	Stimulus/S 86	87	263109
264.308	0.0	Stimulus/S 62	63	264308
265.408	0.0	Stimulus/S129	130	265408
265.847	0.0	Stimulus/S222	132	265847
266.907	0.0	Stimulus/S126	127	266907
268.007	0.0	Stimulus/S  5	6	268007
269.306	0.0	Stimulus/S 89	90	269306
270.507	0.0	Stimulus/S 70	71	270507
271.806	0.0	Stimulus/S129	130	271806
272.135	0.0	Stimulus/S222	132	272135
273.305	0.0	Stimulus/S 88	89	273305
274.605	0.0	Stimulus/S109	110	274605
275.805	0.0	Stimulus/S  6	7	275805
277.004	0.0	Stimulus/S 97	98	277004
278.204	0.0	Stimulus/S129	130	278204
278.583	0.0	Stimulus/S222	132	278583
279.703	0.0	Stimulus/S 83	84	279703
280.803	0.0	Stimulus/S 76	77	280803
282.003	0.0	Stimulus/S103	104	282003
283.102	0.0	Stimulus/S 64	65	283102
284.202	0.0	Stimulus/S129	130	284202
284.567	0.0	Stimulus/S222	132	284567
285.701	0.0	Stimulus/S 50	51	285701
286.801	0.0	Stimulus/S 35	36	286801
287.901	0.0	Stimulus/S 72	73	287901
289.0	0.0	Stimulus/S117	118	289000
290.2	0.0	Stimulus/S 34	35	290200
291.4	0.0	Stimulus/S129	130	291400
291.751	0.0	Stimulus/S222	132	291751
292.915	0.0	Stimulus/S 43	44	292915
294.115	0.0	Stimulus/S 74	75	294115
295.315	0.0	Stimulus/S122	123	295315
296.614	0.0	Stimulus/S129	130	296614
296.999	0.0	Stimulus/S222	132	296999
298.114	0.0	Stimulus/S 10	11	298114
299.214	0.0	Stimulus/S 77	78	299214
300.513	0.0	Stimulus/S111	112	300513
301.613	0.0	Stimulus/S  6	7	301613
302.713	0.0	Stimulus/S129	130	302713
303.095	0.0	Stimulus/S222	132	303095
304.212	0.0	Stimulus/S106	107	304212
305.312	0.0	Stimulus/S 61	62	305312
306.411	0.0	Stimulus/S 13	14	306411
307.511	0.0	Stimulus/S129	130	307511
307.911	0.0	Stimulus/S222	132	307911
309.01	0.0	Stimulus/S 82	83	309010
310.31	0.0	Stimulus/S 53	54	310310
311.41	0.0	Stimulus/S 11	12	311410
312.709	0.0	Stimulus/S129	130	312709
313.079	0.0	Stimulus/S222	132	313079
314.209	0.0	Stimulus/S 21	22	314209
315.508	0.0	Stimulus/S114	115	315508
316.808	0.0	Stimulus/S 73	74	316808
318.107	0.0	Stimulus/S 92	93	318107
319.407	0.0	Stimulus/S129	130	319407
319.736	0.0	Stimulus/S222	132	319736
320.906	0.0	Stimulus/S104	105	320906
322.006	0.0	Stimulus/S120	121	322006
323.106	0.0	Stimulus/S 71	72	323106
324.306	0.0	Stimulus/S 44	45	324306
325.405	0.0	Stimulus/S129	130	325405
325.735	0.0	Stimulus/S222	132	325735
326.904	0.0	Stimulus/S 17	18	326904
328.004	0.0	Stimulus/S 87	88	328004
329.304	0.0	Stimulus/S 34	35	329304
330.404	0.0	Stimulus/S129	130	330404
330.824	0.0	Stimulus/S222	132	330824
331.903	0.0	Stimulus/S 47	48	331903
333.202	0.0	Stimulus/S 95	96	333202
334.302	0.0	Stimulus/S 71	72	334302
335.502	0.0	Stimulus/S 16	17	335502
336.801	0.0	Stimulus/S129	130	336801
337.288	0.0	Stimulus/S222	132	337288
338.301	0.0	Stimulus/S 56	57	338301
339.6	0.0	Stimulus/S 85	86	339600
340.7	0.0	Stimulus/S 30	31	340700
341.9	0.0	Stimulus/S129	130	341900
342.232	0.0	Stimulus/S222	132	342232
343.416	0.0	Stimulus/S 28	29	343416
344.516	0.0	Stimulus/S 72	73	344516
345.615	0.0	Stimulus/S 26	27	345615
346.915	0.0	Stimulus/S 96	97	346915
348.214	0.0	Stimulus/S126	127	348214
349.414	0.0	Stimulus/S129	130	349414
349.752	0.0	Stimulus/S222	132	349752
350.913	0.0	Stimulus/S 59	60	350913
352.113	0.0	Stimulus/S 96	97	352113
353.313	0.0	Stimulus/S  2	3	353313
354.512	0.0	Stimulus/S 47	48	354512
355.612	0.0	Stimulus/S129	130	355612
355.96	0.0	Stimulus/S222	132	355960
357.111	0.0	Stimulus/S  1	2	357111
358.311	0.0	Stimulus/S 38	39	358311
359.61	0.0	Stimulus/S115	116	359610
