onset	duration	trial_type	value	sample
0.0	0.0	New Segment/	1	0
15.153	0.0	Stimulus/S200	131	15153
17.415	0.0	Stimulus/S 56	57	17415
18.615	0.0	Stimulus/S 90	91	18615
19.914	0.0	Stimulus/S 56	57	19914
21.016	0.0	Stimulus/S122	123	21016
22.115	0.0	Stimulus/S128	129	22115
23.213	0.0	Stimulus/S129	130	23213
23.653	0.0	Stimulus/S222	132	23653
24.712	0.0	Stimulus/S 39	40	24712
25.912	0.0	Stimulus/S 52	53	25912
27.111	0.0	Stimulus/S116	117	27111
28.411	0.0	Stimulus/S129	130	28411
28.869	0.0	Stimulus/S222	132	28869
29.91	0.0	Stimulus/S 31	32	29910
31.11	0.0	Stimulus/S 33	34	31110
32.41	0.0	Stimulus/S  2	3	32410
33.51	0.0	Stimulus/S 52	53	33510
34.609	0.0	Stimulus/S  7	8	34609
35.908	0.0	Stimulus/S129	130	35908
36.293	0.0	Stimulus/S222	132	36293
37.408	0.0	Stimulus/S117	118	37408
38.508	0.0	Stimulus/S 15	16	38508
39.708	0.0	Stimulus/S 76	77	39708
40.807	0.0	Stimulus/S 35	36	40807
42.007	0.0	Stimulus/S129	130	42007
42.373	0.0	Stimulus/S222	132	42373
43.506	0.0	Stimulus/S 28	29	43506
44.806	0.0	Stimulus/S 57	58	44806
45.906	0.0	Stimulus/S105	106	45906
47.105	0.0	Stimulus/S 18	19	47105
48.304	0.0	Stimulus/S 81	82	48304
49.404	0.0	Stimulus/S129	130	49404
49.797	0.0	Stimulus/S222	132	49797
50.904	0.0	Stimulus/S119	120	50904
52.104	0.0	Stimulus/S  1	2	52104
53.403	0.0	Stimulus/S 80	81	53403
54.702	0.0	Stimulus/S129	130	54702
55.061	0.0	Stimulus/S222	132	55061
56.202	0.0	Stimulus/S 10	11	56202
57.501	0.0	Stimulus/S 84	85	57501
58.818	0.0	Stimulus/S 23	24	58818
59.917	0.0	Stimulus/S 23	24	59917
61.117	0.0	Stimulus/S129	130	61117
61.461	0.0	Stimulus/S222	132	61461
62.616	0.0	Stimulus/S 86	87	62616
63.916	0.0	Stimulus/S 10	11	63916
65.216	0.0	Stimulus/S 74	75	65216
66.315	0.0	Stimulus/S 27	28	66315
67.615	0.0	Stimulus/S129	130	67615
68.037	0.0	Stimulus/S222	132	68037
69.114	0.0	Stimulus/S 41	42	69114
70.214	0.0	Stimulus/S  4	5	70214
71.513	0.0	Stimulus/S111	112	71513
72.713	0.0	Stimulus/S129	130	72713
73.077	0.0	Stimulus/S222	132	73077
74.213	0.0	Stimulus/S122	123	74213
75.413	0.0	Stimulus/S118	119	75413
76.612	0.0	Stimulus/S 27	28	76612
77.712	0.0	Stimulus/S  1	2	77712
78.911	0.0	Stimulus/S 81	82	78911
80.211	0.0	Stimulus/S129	130	80211
80.581	0.0	Stimulus/S222	132	80581
81.71	0.0	Stimulus/S 88	89	81710
82.91	0.0	Stimulus/S 48	49	82910
84.209	0.0	Stimulus/S 84	85	84209
85.509	0.0	Stimulus/S126	127	85509
86.609	0.0	Stimulus/S111	112	86609
87.908	0.0	Stimulus/S129	130	87908
88.325	0.0	Stimulus/S222	132	88325
89.408	0.0	Stimulus/S 42	43	89408
90.608	0.0	Stimulus/S 18	19	90608
91.907	0.0	Stimulus/S 76	77	91907
93.206	0.0	Stimulus/S 57	58	93206
94.506	0.0	Stimulus/S 46	47	94506
95.806	0.0	Stimulus/S129	130	95806
96.229	0.0	Stimulus/S222	132	96229
97.305	0.0	Stimulus/S 38	39	97305
98.405	0.0	Stimulus/S 29	30	98405
99.505	0.0	Stimulus/S112	113	99505
100.604	0.0	Stimulus/S 65	66	100604
101.904	0.0	Stimulus/S129	130	101904
102.293	0.0	Stimulus/S222	132	102293
103.403	0.0	Stimulus/S 50	51	103403
104.603	0.0	Stimulus/S 25	26	104603
105.703	0.0	Stimulus/S 90	91	105703
106.802	0.0	Stimulus/S 20	21	106802
108.002	0.0	Stimulus/S 73	74	108002
109.318	0.0	Stimulus/S129	130	109318
109.749	0.0	Stimulus/S222	132	109749
110.817	0.0	Stimulus/S 69	70	110817
111.917	0.0	Stimulus/S 28	29	111917
113.117	0.0	Stimulus/S 26	27	113117
114.416	0.0	Stimulus/S 25	26	114416
115.616	0.0	Stimulus/S129	130	115616
116.037	0.0	Stimulus/S222	132	116037
117.115	0.0	Stimulus/S 24	25	117115
118.215	0.0	Stimulus/S  7	8	118215
119.415	0.0	Stimulus/S 83	84	119415
120.515	0.0	Stimulus/S129	130	120515
120.949	0.0	Stimulus/S222	132	120949
122.014	0.0	Stimulus/S 30	31	122014
123.313	0.0	Stimulus/S126	127	123313
124.613	0.0	Stimulus/S 43	44	124613
125.813	0.0	Stimulus/S 96	97	125813
127.112	0.0	Stimulus/S125	126	127112
128.412	0.0	Stimulus/S129	130	128412
128.757	0.0	Stimulus/S222	132	128757
129.911	0.0	Stimulus/S 45	46	129911
131.111	0.0	Stimulus/S 46	47	131111
132.311	0.0	Stimulus/S 11	12	132311
133.51	0.0	Stimulus/S129	130	133510
133.941	0.0	Stimulus/S222	132	133941
135.01	0.0	Stimulus/S 14	15	135010
136.11	0.0	Stimulus/S 56	57	136110
137.409	0.0	Stimulus/S 45	46	137409
138.708	0.0	Stimulus/S107	108	138708
139.808	0.0	Stimulus/S129	130	139808
140.181	0.0	Stimulus/S222	132	140181
141.308	0.0	Stimulus/S 63	64	141308
142.408	0.0	Stimulus/S 98	99	142408
143.607	0.0	Stimulus/S105	106	143607
144.906	0.0	Stimulus/S129	130	144906
145.269	0.0	Stimulus/S222	132	145269
146.406	0.0	Stimulus/S 17	18	146406
147.706	0.0	Stimulus/S  1	2	147706
148.905	0.0	Stimulus/S  2	3	148905
150.105	0.0	Stimulus/S 68	69	150105
151.404	0.0	Stimulus/S  9	10	151404
152.704	0.0	Stimulus/S129	130	152704
