onset	duration	trial_type	value	sample
0.0	0.0	New Segment/	1	0
11.875	0.0	Stimulus/S200	131	11875
14.153	0.0	Stimulus/S 52	53	14153
15.253	0.0	Stimulus/S 95	96	15253
16.353	0.0	Stimulus/S 12	13	16353
17.652	0.0	Stimulus/S101	102	17652
18.753	0.0	Stimulus/S 44	45	18753
20.051	0.0	Stimulus/S129	130	20051
20.424	0.0	Stimulus/S222	132	20424
21.551	0.0	Stimulus/S119	120	21551
22.751	0.0	Stimulus/S 24	25	22751
23.85	0.0	Stimulus/S 36	37	23850
25.05	0.0	Stimulus/S 78	79	25050
26.249	0.0	Stimulus/S129	130	26249
26.696	0.0	Stimulus/S222	132	26696
27.749	0.0	Stimulus/S 21	22	27749
29.048	0.0	Stimulus/S 81	82	29048
30.248	0.0	Stimulus/S115	116	30248
31.547	0.0	Stimulus/S 22	23	31547
32.847	0.0	Stimulus/S129	130	32847
33.208	0.0	Stimulus/S222	132	33208
34.346	0.0	Stimulus/S 55	56	34346
35.446	0.0	Stimulus/S 87	88	35446
36.546	0.0	Stimulus/S107	108	36546
37.845	0.0	Stimulus/S 67	68	37845
39.045	0.0	Stimulus/S 91	92	39045
40.145	0.0	Stimulus/S129	130	40145
40.52	0.0	Stimulus/S222	132	40520
41.644	0.0	Stimulus/S 50	51	41644
42.844	0.0	Stimulus/S 31	32	42844
43.944	0.0	Stimulus/S 84	85	43944
45.143	0.0	Stimulus/S 56	57	45143
46.343	0.0	Stimulus/S129	130	46343
46.825	0.0	Stimulus/S222	132	46825
47.842	0.0	Stimulus/S 78	79	47842
49.142	0.0	Stimulus/S 92	93	49142
50.242	0.0	Stimulus/S 93	94	50242
51.341	0.0	Stimulus/S 29	30	51341
52.541	0.0	Stimulus/S129	130	52541
52.952	0.0	Stimulus/S222	132	52952
54.04	0.0	Stimulus/S  5	6	54040
55.356	0.0	Stimulus/S 68	69	55356
56.656	0.0	Stimulus/S117	118	56656
57.856	0.0	Stimulus/S 15	16	57856
59.155	0.0	Stimulus/S129	130	59155
59.544	0.0	Stimulus/S222	132	59544
60.655	0.0	Stimulus/S 66	67	60655
61.954	0.0	Stimulus/S 63	64	61954
63.254	0.0	Stimulus/S 77	78	63254
64.553	0.0	Stimulus/S 25	26	64553
65.653	0.0	Stimulus/S129	130	65653
66.088	0.0	Stimulus/S222	132	66088
67.152	0.0	Stimulus/S 35	36	67152
68.352	0.0	Stimulus/S 19	20	68352
69.552	0.0	Stimulus/S 59	60	69552
70.652	0.0	Stimulus/S123	124	70652
71.951	0.0	Stimulus/S 59	60	71951
73.151	0.0	Stimulus/S129	130	73151
73.512	0.0	Stimulus/S222	132	73512
74.65	0.0	Stimulus/S 90	91	74650
75.85	0.0	Stimulus/S 55	56	75850
77.05	0.0	Stimulus/S  9	10	77050
78.149	0.0	Stimulus/S  7	8	78149
79.249	0.0	Stimulus/S129	130	79249
79.689	0.0	Stimulus/S222	132	79689
80.748	0.0	Stimulus/S 83	84	80748
81.848	0.0	Stimulus/S 90	91	81848
83.147	0.0	Stimulus/S 38	39	83147
84.247	0.0	Stimulus/S129	130	84247
84.857	0.0	Stimulus/S222	132	84857
85.746	0.0	Stimulus/S108	109	85746
86.846	0.0	Stimulus/S117	118	86846
87.946	0.0	Stimulus/S 98	99	87946
89.245	0.0	Stimulus/S129	130	89245
89.72	0.0	Stimulus/S222	132	89720
90.745	0.0	Stimulus/S 13	14	90745
91.845	0.0	Stimulus/S104	105	91845
92.944	0.0	Stimulus/S105	106	92944
94.244	0.0	Stimulus/S106	107	94244
95.543	0.0	Stimulus/S129	130	95543
95.961	0.0	Stimulus/S222	132	95961
97.043	0.0	Stimulus/S112	113	97043
98.342	0.0	Stimulus/S 41	42	98342
99.442	0.0	Stimulus/S 64	65	99442
100.642	0.0	Stimulus/S 22	23	100642
101.941	0.0	Stimulus/S129	130	101941
102.249	0.0	Stimulus/S222	132	102249
103.441	0.0	Stimulus/S 45	46	103441
104.74	0.0	Stimulus/S 43	44	104740
105.857	0.0	Stimulus/S102	103	105857
107.156	0.0	Stimulus/S129	130	107156
107.801	0.0	Stimulus/S222	132	107801
108.656	0.0	Stimulus/S 72	73	108656
109.855	0.0	Stimulus/S 96	97	109855
110.955	0.0	Stimulus/S 17	18	110955
112.155	0.0	Stimulus/S 21	22	112155
113.354	0.0	Stimulus/S129	130	113354
113.689	0.0	Stimulus/S222	132	113689
114.854	0.0	Stimulus/S 56	57	114854
116.053	0.0	Stimulus/S 48	49	116053
117.353	0.0	Stimulus/S 16	17	117353
118.553	0.0	Stimulus/S129	130	118553
119.017	0.0	Stimulus/S222	132	119017
120.052	0.0	Stimulus/S 88	89	120052
121.252	0.0	Stimulus/S 62	63	121252
122.351	0.0	Stimulus/S 79	80	122351
123.651	0.0	Stimulus/S129	130	123651
124.073	0.0	Stimulus/S222	132	124073
125.15	0.0	Stimulus/S 61	62	125150
126.45	0.0	Stimulus/S 23	24	126450
127.749	0.0	Stimulus/S 85	86	127749
129.049	0.0	Stimulus/S 47	48	129049
130.249	0.0	Stimulus/S 63	64	130249
131.449	0.0	Stimulus/S129	130	131449
131.849	0.0	Stimulus/S222	132	131849
132.948	0.0	Stimulus/S101	102	132948
134.148	0.0	Stimulus/S 81	82	134148
135.347	0.0	Stimulus/S 79	80	135347
136.547	0.0	Stimulus/S 89	90	136547
137.747	0.0	Stimulus/S129	130	137747
138.249	0.0	Stimulus/S222	132	138249
139.246	0.0	Stimulus/S111	112	139246
140.545	0.0	Stimulus/S114	115	140545
141.845	0.0	Stimulus/S 31	32	141845
143.045	0.0	Stimulus/S129	130	143045
143.497	0.0	Stimulus/S222	132	143497
144.544	0.0	Stimulus/S107	108	144544
145.744	0.0	Stimulus/S 94	95	145744
146.844	0.0	Stimulus/S  5	6	146844
147.943	0.0	Stimulus/S129	130	147943
148.393	0.0	Stimulus/S222	132	148393
149.442	0.0	Stimulus/S118	119	149442
150.542	0.0	Stimulus/S126	127	150542
151.742	0.0	Stimulus/S 86	87	151742
152.842	0.0	Stimulus/S129	130	152842
153.225	0.0	Stimulus/S222	132	153225
154.341	0.0	Stimulus/S120	121	154341
155.541	0.0	Stimulus/S 38	39	155541
156.757	0.0	Stimulus/S  7	8	156757
157.857	0.0	Stimulus/S129	130	157857
158.233	0.0	Stimulus/S222	132	158233
159.356	0.0	Stimulus/S 11	12	159356
160.456	0.0	Stimulus/S 66	67	160456
161.755	0.0	Stimulus/S115	116	161755
162.855	0.0	Stimulus/S 11	12	162855
164.154	0.0	Stimulus/S122	123	164154
165.354	0.0	Stimulus/S129	130	165354
165.625	0.0	Stimulus/S222	132	165625
166.853	0.0	Stimulus/S 46	47	166853
167.953	0.0	Stimulus/S 24	25	167953
169.253	0.0	Stimulus/S 69	70	169253
170.352	0.0	Stimulus/S129	130	170352
170.665	0.0	Stimulus/S222	132	170665
171.852	0.0	Stimulus/S 94	95	171852
173.151	0.0	Stimulus/S  7	8	173151
174.251	0.0	Stimulus/S  3	4	174251
175.551	0.0	Stimulus/S106	107	175551
176.751	0.0	Stimulus/S129	130	176751
177.065	0.0	Stimulus/S222	132	177065
178.25	0.0	Stimulus/S 92	93	178250
179.549	0.0	Stimulus/S 70	71	179549
180.749	0.0	Stimulus/S 48	49	180749
181.949	0.0	Stimulus/S103	104	181949
183.049	0.0	Stimulus/S 83	84	183049
184.348	0.0	Stimulus/S129	130	184348
184.697	0.0	Stimulus/S222	132	184697
185.847	0.0	Stimulus/S 33	34	185847
186.947	0.0	Stimulus/S 86	87	186947
188.246	0.0	Stimulus/S 71	72	188246
189.546	0.0	Stimulus/S 84	85	189546
190.746	0.0	Stimulus/S 95	96	190746
191.846	0.0	Stimulus/S129	130	191846
192.265	0.0	Stimulus/S222	132	192265
193.345	0.0	Stimulus/S 60	61	193345
194.644	0.0	Stimulus/S 16	17	194644
195.944	0.0	Stimulus/S 42	43	195944
197.044	0.0	Stimulus/S 19	20	197044
198.244	0.0	Stimulus/S129	130	198244
198.537	0.0	Stimulus/S222	132	198537
199.743	0.0	Stimulus/S 71	72	199743
200.843	0.0	Stimulus/S  9	10	200843
202.142	0.0	Stimulus/S 76	77	202142
203.242	0.0	Stimulus/S 97	98	203242
204.342	0.0	Stimulus/S129	130	204342
204.761	0.0	Stimulus/S222	132	204761
205.841	0.0	Stimulus/S123	124	205841
207.157	0.0	Stimulus/S 91	92	207157
208.257	0.0	Stimulus/S 65	66	208257
209.357	0.0	Stimulus/S129	130	209357
209.769	0.0	Stimulus/S222	132	209769
210.856	0.0	Stimulus/S 73	74	210856
212.056	0.0	Stimulus/S 96	97	212056
213.355	0.0	Stimulus/S 99	100	213355
214.455	0.0	Stimulus/S129	130	214455
215.097	0.0	Stimulus/S222	132	215097
215.954	0.0	Stimulus/S  3	4	215954
217.054	0.0	Stimulus/S103	104	217054
218.254	0.0	Stimulus/S 82	83	218254
219.553	0.0	Stimulus/S129	130	219553
220.089	0.0	Stimulus/S222	132	220089
221.052	0.0	Stimulus/S 67	68	221052
222.253	0.0	Stimulus/S 54	55	222253
223.452	0.0	Stimulus/S 41	42	223452
224.652	0.0	Stimulus/S129	130	224652
225.065	0.0	Stimulus/S222	132	225065
226.151	0.0	Stimulus/S  2	3	226151
227.45	0.0	Stimulus/S105	106	227450
228.75	0.0	Stimulus/S 57	58	228750
229.95	0.0	Stimulus/S 54	55	229950
231.249	0.0	Stimulus/S 96	97	231249
232.449	0.0	Stimulus/S129	130	232449
232.857	0.0	Stimulus/S222	132	232857
233.948	0.0	Stimulus/S121	122	233948
235.248	0.0	Stimulus/S 26	27	235248
236.547	0.0	Stimulus/S109	110	236547
237.747	0.0	Stimulus/S102	103	237747
239.047	0.0	Stimulus/S 48	49	239047
240.147	0.0	Stimulus/S129	130	240147
240.633	0.0	Stimulus/S222	132	240633
241.646	0.0	Stimulus/S 28	29	241646
242.846	0.0	Stimulus/S  1	2	242846
244.145	0.0	Stimulus/S112	113	244145
245.245	0.0	Stimulus/S 47	48	245245
246.345	0.0	Stimulus/S129	130	246345
246.793	0.0	Stimulus/S222	132	246793
247.844	0.0	Stimulus/S 49	50	247844
249.143	0.0	Stimulus/S 75	76	249143
250.243	0.0	Stimulus/S128	129	250243
251.443	0.0	Stimulus/S129	130	251443
251.961	0.0	Stimulus/S222	132	251961
252.942	0.0	Stimulus/S 64	65	252942
254.042	0.0	Stimulus/S 63	64	254042
255.341	0.0	Stimulus/S 45	46	255341
256.641	0.0	Stimulus/S 82	83	256641
257.94	0.0	Stimulus/S129	130	257940
258.265	0.0	Stimulus/S222	132	258265
259.457	0.0	Stimulus/S 53	54	259457
260.756	0.0	Stimulus/S 10	11	260756
261.856	0.0	Stimulus/S 87	88	261856
263.156	0.0	Stimulus/S129	130	263156
263.817	0.0	Stimulus/S222	132	263817
264.655	0.0	Stimulus/S 43	44	264655
265.955	0.0	Stimulus/S 14	15	265955
267.155	0.0	Stimulus/S 18	19	267155
268.354	0.0	Stimulus/S125	126	268354
269.454	0.0	Stimulus/S125	126	269454
270.753	0.0	Stimulus/S129	130	270753
271.033	0.0	Stimulus/S222	132	271033
272.253	0.0	Stimulus/S 26	27	272253
273.552	0.0	Stimulus/S127	128	273552
274.652	0.0	Stimulus/S 20	21	274652
