onset	duration	trial_type	value	sample
0.0	0.0	New Segment/	1	0
25.63	0.0	Stimulus/S200	131	25630
27.899	0.0	Stimulus/S 12	13	27899
29.199	0.0	Stimulus/S 52	53	29199
30.299	0.0	Stimulus/S 14	15	30299
31.598	0.0	Stimulus/S129	130	31598
32.167	0.0	Stimulus/S222	132	32167
33.098	0.0	Stimulus/S 56	57	33098
34.297	0.0	Stimulus/S 93	94	34297
35.497	0.0	Stimulus/S127	128	35497
36.696	0.0	Stimulus/S 90	91	36696
37.896	0.0	Stimulus/S  9	10	37896
39.096	0.0	Stimulus/S129	130	39096
39.447	0.0	Stimulus/S222	132	39447
40.595	0.0	Stimulus/S 35	36	40595
41.695	0.0	Stimulus/S 32	33	41695
42.894	0.0	Stimulus/S111	112	42894
44.194	0.0	Stimulus/S128	129	44194
45.493	0.0	Stimulus/S 88	89	45493
46.593	0.0	Stimulus/S129	130	46593
46.983	0.0	Stimulus/S222	132	46983
48.092	0.0	Stimulus/S 75	76	48092
49.392	0.0	Stimulus/S109	110	49392
50.492	0.0	Stimulus/S117	118	50492
51.692	0.0	Stimulus/S 82	83	51692
52.891	0.0	Stimulus/S 53	54	52891
54.091	0.0	Stimulus/S129	130	54091
54.695	0.0	Stimulus/S222	132	54695
55.59	0.0	Stimulus/S 77	78	55590
56.89	0.0	Stimulus/S102	103	56890
58.189	0.0	Stimulus/S  3	4	58189
59.389	0.0	Stimulus/S 59	60	59389
60.489	0.0	Stimulus/S 33	34	60489
61.588	0.0	Stimulus/S129	130	61588
61.943	0.0	Stimulus/S222	132	61943
63.087	0.0	Stimulus/S  2	3	63087
64.187	0.0	Stimulus/S 95	96	64187
65.387	0.0	Stimulus/S 57	58	65387
66.487	0.0	Stimulus/S129	130	66487
66.919	0.0	Stimulus/S222	132	66919
67.986	0.0	Stimulus/S 75	76	67986
69.102	0.0	Stimulus/S 96	97	69102
70.302	0.0	Stimulus/S 61	62	70302
71.402	0.0	Stimulus/S104	105	71402
72.501	0.0	Stimulus/S129	130	72501
72.903	0.0	Stimulus/S222	132	72903
74.001	0.0	Stimulus/S104	105	74001
75.3	0.0	Stimulus/S 52	53	75300
76.4	0.0	Stimulus/S 13	14	76400
77.699	0.0	Stimulus/S 55	56	77699
78.899	0.0	Stimulus/S 92	93	78899
80.199	0.0	Stimulus/S129	130	80199
80.551	0.0	Stimulus/S222	132	80551
81.698	0.0	Stimulus/S106	107	81698
82.998	0.0	Stimulus/S 38	39	82998
84.198	0.0	Stimulus/S 84	85	84198
85.297	0.0	Stimulus/S 73	74	85297
86.497	0.0	Stimulus/S129	130	86497
86.887	0.0	Stimulus/S222	132	86887
87.996	0.0	Stimulus/S 91	92	87996
89.096	0.0	Stimulus/S 13	14	89096
90.196	0.0	Stimulus/S  7	8	90196
91.395	0.0	Stimulus/S 16	17	91395
92.495	0.0	Stimulus/S129	130	92495
92.807	0.0	Stimulus/S222	132	92807
93.994	0.0	Stimulus/S 74	75	93994
95.094	0.0	Stimulus/S 15	16	95094
96.294	0.0	Stimulus/S 85	86	96294
97.493	0.0	Stimulus/S 65	66	97493
98.693	0.0	Stimulus/S 42	43	98693
99.793	0.0	Stimulus/S129	130	99793
100.087	0.0	Stimulus/S222	132	100087
101.292	0.0	Stimulus/S 98	99	101292
102.492	0.0	Stimulus/S 66	67	102492
103.791	0.0	Stimulus/S111	112	103791
104.891	0.0	Stimulus/S 98	99	104891
105.99	0.0	Stimulus/S129	130	105990
106.359	0.0	Stimulus/S222	132	106359
107.49	0.0	Stimulus/S110	111	107490
108.59	0.0	Stimulus/S 96	97	108590
109.689	0.0	Stimulus/S 88	89	109689
110.889	0.0	Stimulus/S129	130	110889
111.271	0.0	Stimulus/S222	132	111271
112.388	0.0	Stimulus/S 78	79	112388
113.488	0.0	Stimulus/S 64	65	113488
114.688	0.0	Stimulus/S 76	77	114688
115.787	0.0	Stimulus/S129	130	115787
116.055	0.0	Stimulus/S222	132	116055
117.303	0.0	Stimulus/S  6	7	117303
118.586	0.0	Stimulus/S 47	48	118586
119.703	0.0	Stimulus/S 30	31	119703
121.002	0.0	Stimulus/S129	130	121002
121.271	0.0	Stimulus/S222	132	121271
122.502	0.0	Stimulus/S 31	32	122502
123.701	0.0	Stimulus/S 12	13	123701
124.801	0.0	Stimulus/S 74	75	124801
125.901	0.0	Stimulus/S 71	72	125901
127.1	0.0	Stimulus/S129	130	127100
127.447	0.0	Stimulus/S222	132	127447
128.6	0.0	Stimulus/S  1	2	128600
129.899	0.0	Stimulus/S 92	93	129899
130.999	0.0	Stimulus/S 41	42	130999
132.099	0.0	Stimulus/S 87	88	132099
133.198	0.0	Stimulus/S 58	59	133198
134.498	0.0	Stimulus/S129	130	134498
134.823	0.0	Stimulus/S222	132	134823
135.997	0.0	Stimulus/S 22	23	135997
137.097	0.0	Stimulus/S 50	51	137097
138.396	0.0	Stimulus/S 53	54	138396
139.596	0.0	Stimulus/S 27	28	139596
140.896	0.0	Stimulus/S103	104	140896
