onset	duration	trial_type	value	sample
0.0	0.0	New Segment/	1	0
45.298	0.0	Stimulus/S200	131	45298
48.313	0.0	Stimulus/S 40	41	48313
49.514	0.0	Stimulus/S 18	19	49514
50.613	0.0	Stimulus/S 23	24	50613
51.912	0.0	Stimulus/S 59	60	51912
53.213	0.0	Stimulus/S129	130	53213
53.866	0.0	Stimulus/S222	132	53866
54.711	0.0	Stimulus/S 69	70	54711
56.011	0.0	Stimulus/S 27	28	56011
57.111	0.0	Stimulus/S102	103	57111
58.31	0.0	Stimulus/S 88	89	58310
59.61	0.0	Stimulus/S129	130	59610
60.411	0.0	Stimulus/S222	132	60411
61.109	0.0	Stimulus/S110	111	61109
62.409	0.0	Stimulus/S109	110	62409
63.708	0.0	Stimulus/S103	104	63708
65.008	0.0	Stimulus/S 64	65	65008
66.208	0.0	Stimulus/S129	130	66208
66.747	0.0	Stimulus/S222	132	66747
67.707	0.0	Stimulus/S 30	31	67707
68.907	0.0	Stimulus/S 28	29	68907
70.006	0.0	Stimulus/S 83	84	70006
71.106	0.0	Stimulus/S 86	87	71106
72.306	0.0	Stimulus/S 46	47	72306
73.405	0.0	Stimulus/S129	130	73405
73.931	0.0	Stimulus/S222	132	73931
74.905	0.0	Stimulus/S100	101	74905
76.204	0.0	Stimulus/S 87	88	76204
77.404	0.0	Stimulus/S 29	30	77404
78.604	0.0	Stimulus/S106	107	78604
79.703	0.0	Stimulus/S129	130	79703
80.107	0.0	Stimulus/S222	132	80107
81.203	0.0	Stimulus/S 25	26	81203
82.302	0.0	Stimulus/S 52	53	82302
83.502	0.0	Stimulus/S 11	12	83502
84.602	0.0	Stimulus/S 23	24	84602
85.901	0.0	Stimulus/S 49	50	85901
87.2	0.0	Stimulus/S129	130	87200
87.643	0.0	Stimulus/S222	132	87643
88.7	0.0	Stimulus/S 84	85	88700
89.917	0.0	Stimulus/S  4	5	89917
91.216	0.0	Stimulus/S 51	52	91216
92.515	0.0	Stimulus/S 67	68	92515
93.715	0.0	Stimulus/S 95	96	93715
94.915	0.0	Stimulus/S129	130	94915
95.771	0.0	Stimulus/S222	132	95771
96.414	0.0	Stimulus/S  8	9	96414
97.614	0.0	Stimulus/S 68	69	97614
98.814	0.0	Stimulus/S115	116	98814
100.113	0.0	Stimulus/S126	127	100113
101.213	0.0	Stimulus/S 57	58	101213
102.512	0.0	Stimulus/S129	130	102512
102.939	0.0	Stimulus/S222	132	102939
104.012	0.0	Stimulus/S114	115	104012
105.212	0.0	Stimulus/S 44	45	105212
106.411	0.0	Stimulus/S 91	92	106411
107.711	0.0	Stimulus/S 56	57	107711
109.01	0.0	Stimulus/S129	130	109010
109.659	0.0	Stimulus/S222	132	109659
110.51	0.0	Stimulus/S122	123	110510
111.71	0.0	Stimulus/S 21	22	111710
113.009	0.0	Stimulus/S 24	25	113009
114.308	0.0	Stimulus/S129	130	114308
114.795	0.0	Stimulus/S222	132	114795
115.808	0.0	Stimulus/S119	120	115808
117.008	0.0	Stimulus/S 54	55	117008
118.307	0.0	Stimulus/S 46	47	118307
119.607	0.0	Stimulus/S 53	54	119607
120.707	0.0	Stimulus/S103	104	120707
121.906	0.0	Stimulus/S129	130	121906
122.459	0.0	Stimulus/S222	132	122459
123.405	0.0	Stimulus/S116	117	123405
124.705	0.0	Stimulus/S 98	99	124705
126.005	0.0	Stimulus/S 82	83	126005
127.304	0.0	Stimulus/S129	130	127304
128.011	0.0	Stimulus/S222	132	128011
128.804	0.0	Stimulus/S 20	21	128804
129.904	0.0	Stimulus/S 16	17	129904
131.103	0.0	Stimulus/S 93	94	131103
132.203	0.0	Stimulus/S 84	85	132203
133.303	0.0	Stimulus/S 69	70	133303
134.502	0.0	Stimulus/S129	130	134502
135.019	0.0	Stimulus/S222	132	135019
136.002	0.0	Stimulus/S 71	72	136002
137.101	0.0	Stimulus/S 66	67	137101
138.301	0.0	Stimulus/S128	129	138301
139.517	0.0	Stimulus/S113	114	139517
140.617	0.0	Stimulus/S 44	45	140617
141.816	0.0	Stimulus/S129	130	141816
142.235	0.0	Stimulus/S222	132	142235
143.316	0.0	Stimulus/S 13	14	143316
144.615	0.0	Stimulus/S126	127	144615
145.715	0.0	Stimulus/S 72	73	145715
146.915	0.0	Stimulus/S 81	82	146915
148.114	0.0	Stimulus/S109	110	148114
