onset	duration	trial_type	value	sample
0.0	0.0	New Segment/	1	0
19.668	0.0	Stimulus/S200	131	19668
21.961	0.0	Stimulus/S 95	96	21961
23.261	0.0	Stimulus/S 22	23	23261
24.361	0.0	Stimulus/S 27	28	24361
25.562	0.0	Stimulus/S129	130	25562
26.187	0.0	Stimulus/S222	132	26187
27.06	0.0	Stimulus/S  5	6	27060
28.159	0.0	Stimulus/S 32	33	28159
29.458	0.0	Stimulus/S117	118	29458
30.558	0.0	Stimulus/S116	117	30558
31.758	0.0	Stimulus/S129	130	31758
32.235	0.0	Stimulus/S222	132	32235
33.257	0.0	Stimulus/S 16	17	33257
34.557	0.0	Stimulus/S 35	36	34557
35.657	0.0	Stimulus/S 76	77	35657
36.956	0.0	Stimulus/S129	130	36956
37.291	0.0	Stimulus/S222	132	37291
38.455	0.0	Stimulus/S 50	51	38455
39.655	0.0	Stimulus/S 36	37	39655
40.755	0.0	Stimulus/S 91	92	40755
41.955	0.0	Stimulus/S129	130	41955
42.363	0.0	Stimulus/S222	132	42363
43.454	0.0	Stimulus/S127	128	43454
44.753	0.0	Stimulus/S 44	45	44753
45.853	0.0	Stimulus/S 55	56	45853
46.953	0.0	Stimulus/S 36	37	46953
48.053	0.0	Stimulus/S 17	18	48053
48.348	0.0	Stimulus/S222	132	48348
49.352	0.0	Stimulus/S129	130	49352
49.852	0.0	Stimulus/S222	132	49852
50.851	0.0	Stimulus/S100	101	50851
52.151	0.0	Stimulus/S 19	20	52151
53.351	0.0	Stimulus/S 95	96	53351
54.551	0.0	Stimulus/S129	130	54551
55.003	0.0	Stimulus/S222	132	55003
56.05	0.0	Stimulus/S112	113	56050
57.349	0.0	Stimulus/S107	108	57349
58.549	0.0	Stimulus/S 62	63	58549
59.749	0.0	Stimulus/S129	130	59749
60.139	0.0	Stimulus/S222	132	60139
61.248	0.0	Stimulus/S 60	61	61248
62.348	0.0	Stimulus/S  8	9	62348
63.564	0.0	Stimulus/S 24	25	63564
64.664	0.0	Stimulus/S129	130	64664
65.003	0.0	Stimulus/S222	132	65003
66.163	0.0	Stimulus/S 74	75	66163
67.363	0.0	Stimulus/S 23	24	67363
68.563	0.0	Stimulus/S 49	50	68563
69.762	0.0	Stimulus/S 21	22	69762
70.862	0.0	Stimulus/S 72	73	70862
72.061	0.0	Stimulus/S129	130	72061
72.347	0.0	Stimulus/S222	132	72347
73.561	0.0	Stimulus/S 81	82	73561
74.661	0.0	Stimulus/S105	106	74661
75.86	0.0	Stimulus/S 33	34	75860
77.16	0.0	Stimulus/S 16	17	77160
78.259	0.0	Stimulus/S 81	82	78259
79.559	0.0	Stimulus/S129	130	79559
79.819	0.0	Stimulus/S222	132	79819
81.058	0.0	Stimulus/S 90	91	81058
82.358	0.0	Stimulus/S 58	59	82358
83.657	0.0	Stimulus/S 63	64	83657
84.757	0.0	Stimulus/S  9	10	84757
86.057	0.0	Stimulus/S129	130	86057
86.459	0.0	Stimulus/S222	132	86459
87.556	0.0	Stimulus/S 56	57	87556
88.756	0.0	Stimulus/S 67	68	88756
89.856	0.0	Stimulus/S 62	63	89856
90.955	0.0	Stimulus/S129	130	90955
91.371	0.0	Stimulus/S222	132	91371
92.455	0.0	Stimulus/S 94	95	92455
93.555	0.0	Stimulus/S 80	81	93555
94.754	0.0	Stimulus/S101	102	94754
95.854	0.0	Stimulus/S 84	85	95854
97.053	0.0	Stimulus/S 45	46	97053
98.253	0.0	Stimulus/S129	130	98253
98.651	0.0	Stimulus/S222	132	98651
99.752	0.0	Stimulus/S127	128	99752
100.852	0.0	Stimulus/S 61	62	100852
101.952	0.0	Stimulus/S  2	3	101952
103.151	0.0	Stimulus/S 39	40	103151
104.251	0.0	Stimulus/S129	130	104251
104.715	0.0	Stimulus/S222	132	104715
105.75	0.0	Stimulus/S 52	53	105750
106.95	0.0	Stimulus/S 82	83	106950
108.15	0.0	Stimulus/S 36	37	108150
109.449	0.0	Stimulus/S129	130	109449
109.915	0.0	Stimulus/S222	132	109915
110.949	0.0	Stimulus/S 70	71	110949
112.248	0.0	Stimulus/S 13	14	112248
113.564	0.0	Stimulus/S  2	3	113564
114.864	0.0	Stimulus/S 97	98	114864
116.064	0.0	Stimulus/S108	109	116064
117.163	0.0	Stimulus/S129	130	117163
117.499	0.0	Stimulus/S222	132	117499
118.663	0.0	Stimulus/S 68	69	118663
119.763	0.0	Stimulus/S  7	8	119763
120.962	0.0	Stimulus/S 14	15	120962
122.262	0.0	Stimulus/S 50	51	122262
123.361	0.0	Stimulus/S129	130	123361
123.707	0.0	Stimulus/S222	132	123707
124.861	0.0	Stimulus/S125	126	124861
126.16	0.0	Stimulus/S 53	54	126160
127.46	0.0	Stimulus/S 49	50	127460
128.56	0.0	Stimulus/S129	130	128560
128.987	0.0	Stimulus/S222	132	128987
130.059	0.0	Stimulus/S 65	66	130059
131.359	0.0	Stimulus/S 34	35	131359
132.458	0.0	Stimulus/S 23	24	132458
133.658	0.0	Stimulus/S129	130	133658
134.123	0.0	Stimulus/S222	132	134123
135.157	0.0	Stimulus/S 40	41	135157
136.357	0.0	Stimulus/S 67	68	136357
137.557	0.0	Stimulus/S 85	86	137557
138.656	0.0	Stimulus/S129	130	138656
139.131	0.0	Stimulus/S222	132	139131
140.156	0.0	Stimulus/S 99	100	140156
141.256	0.0	Stimulus/S 89	90	141256
142.355	0.0	Stimulus/S 92	93	142355
143.655	0.0	Stimulus/S129	130	143655
144.059	0.0	Stimulus/S222	132	144059
145.154	0.0	Stimulus/S  6	7	145154
146.254	0.0	Stimulus/S112	113	146254
147.354	0.0	Stimulus/S 86	87	147354
148.453	0.0	Stimulus/S 87	88	148453
149.553	0.0	Stimulus/S129	130	149553
149.851	0.0	Stimulus/S222	132	149851
151.052	0.0	Stimulus/S118	119	151052
152.252	0.0	Stimulus/S  3	4	152252
153.452	0.0	Stimulus/S 20	21	153452
154.551	0.0	Stimulus/S 27	28	154551
155.851	0.0	Stimulus/S 79	80	155851
157.15	0.0	Stimulus/S129	130	157150
157.564	0.0	Stimulus/S222	132	157564
158.65	0.0	Stimulus/S 19	20	158650
159.75	0.0	Stimulus/S 56	57	159750
