onset	duration	trial_type	value	sample
0.0	0.0	New Segment/	1	0
194.042	0.0	Stimulus/S200	131	194042
196.305	0.0	Stimulus/S 80	81	196305
197.505	0.0	Stimulus/S105	106	197505
198.804	0.0	Stimulus/S 65	66	198804
200.104	0.0	Stimulus/S  7	8	200104
201.205	0.0	Stimulus/S129	130	201205
201.968	0.0	Stimulus/S222	132	201968
202.702	0.0	Stimulus/S118	119	202702
204.002	0.0	Stimulus/S120	121	204002
205.302	0.0	Stimulus/S 90	91	205302
206.502	0.0	Stimulus/S129	130	206502
207.152	0.0	Stimulus/S222	132	207152
208.001	0.0	Stimulus/S 44	45	208001
209.1	0.0	Stimulus/S 73	74	209100
210.3	0.0	Stimulus/S125	126	210300
211.599	0.0	Stimulus/S129	130	211599
212.128	0.0	Stimulus/S222	132	212128
213.099	0.0	Stimulus/S 15	16	213099
214.399	0.0	Stimulus/S112	113	214399
215.599	0.0	Stimulus/S118	119	215599
216.798	0.0	Stimulus/S129	130	216798
217.329	0.0	Stimulus/S222	132	217329
218.297	0.0	Stimulus/S 23	24	218297
219.597	0.0	Stimulus/S 59	60	219597
220.797	0.0	Stimulus/S 41	42	220797
222.096	0.0	Stimulus/S 94	95	222096
223.296	0.0	Stimulus/S129	130	223296
224.001	0.0	Stimulus/S222	132	224001
224.795	0.0	Stimulus/S 93	94	224795
225.995	0.0	Stimulus/S 37	38	225995
227.195	0.0	Stimulus/S 88	89	227195
228.494	0.0	Stimulus/S129	130	228494
228.976	0.0	Stimulus/S222	132	228976
229.994	0.0	Stimulus/S 99	100	229994
231.194	0.0	Stimulus/S 24	25	231194
232.393	0.0	Stimulus/S112	113	232393
233.692	0.0	Stimulus/S129	130	233692
234.241	0.0	Stimulus/S222	132	234241
235.192	0.0	Stimulus/S 61	62	235192
236.292	0.0	Stimulus/S103	104	236292
237.408	0.0	Stimulus/S 32	33	237408
238.707	0.0	Stimulus/S115	116	238707
239.807	0.0	Stimulus/S 21	22	239807
241.007	0.0	Stimulus/S129	130	241007
241.409	0.0	Stimulus/S222	132	241409
242.506	0.0	Stimulus/S 43	44	242506
243.706	0.0	Stimulus/S 26	27	243706
245.005	0.0	Stimulus/S 67	68	245005
246.305	0.0	Stimulus/S129	130	246305
246.977	0.0	Stimulus/S222	132	246977
247.804	0.0	Stimulus/S 83	84	247804
248.904	0.0	Stimulus/S 90	91	248904
250.004	0.0	Stimulus/S 35	36	250004
251.104	0.0	Stimulus/S 79	80	251104
252.403	0.0	Stimulus/S 78	79	252403
253.503	0.0	Stimulus/S129	130	253503
254.225	0.0	Stimulus/S222	132	254225
255.002	0.0	Stimulus/S 72	73	255002
256.102	0.0	Stimulus/S127	128	256102
257.302	0.0	Stimulus/S 11	12	257302
258.501	0.0	Stimulus/S129	130	258501
259.041	0.0	Stimulus/S222	132	259041
260.0	0.0	Stimulus/S  9	10	260000
261.1	0.0	Stimulus/S 70	71	261100
262.4	0.0	Stimulus/S 39	40	262400
263.6	0.0	Stimulus/S105	106	263600
264.699	0.0	Stimulus/S 89	90	264699
265.899	0.0	Stimulus/S129	130	265899
266.385	0.0	Stimulus/S222	132	266385
267.398	0.0	Stimulus/S 45	46	267398
268.698	0.0	Stimulus/S 78	79	268698
269.997	0.0	Stimulus/S 20	21	269997
271.197	0.0	Stimulus/S 77	78	271197
272.297	0.0	Stimulus/S129	130	272297
272.769	0.0	Stimulus/S222	132	272769
273.796	0.0	Stimulus/S  5	6	273796
274.996	0.0	Stimulus/S  4	5	274996
276.295	0.0	Stimulus/S 36	37	276295
277.495	0.0	Stimulus/S 52	53	277495
278.595	0.0	Stimulus/S129	130	278595
279.041	0.0	Stimulus/S222	132	279041
280.094	0.0	Stimulus/S 35	36	280094
281.294	0.0	Stimulus/S 63	64	281294
282.494	0.0	Stimulus/S121	122	282494
283.693	0.0	Stimulus/S129	130	283693
284.353	0.0	Stimulus/S222	132	284353
285.192	0.0	Stimulus/S 56	57	285192
286.492	0.0	Stimulus/S 28	29	286492
287.592	0.0	Stimulus/S118	119	287592
288.808	0.0	Stimulus/S116	117	288808
290.008	0.0	Stimulus/S 19	20	290008
291.307	0.0	Stimulus/S129	130	291307
291.745	0.0	Stimulus/S222	132	291745
292.806	0.0	Stimulus/S110	111	292806
293.906	0.0	Stimulus/S123	124	293906
295.106	0.0	Stimulus/S 27	28	295106
296.306	0.0	Stimulus/S 31	32	296306
297.505	0.0	Stimulus/S 56	57	297505
298.705	0.0	Stimulus/S129	130	298705
299.121	0.0	Stimulus/S222	132	299121
300.204	0.0	Stimulus/S 86	87	300204
301.504	0.0	Stimulus/S109	110	301504
302.803	0.0	Stimulus/S 57	58	302803
303.903	0.0	Stimulus/S 70	71	303903
305.202	0.0	Stimulus/S129	130	305202
305.489	0.0	Stimulus/S222	132	305489
306.702	0.0	Stimulus/S 75	76	306702
307.802	0.0	Stimulus/S 90	91	307802
309.002	0.0	Stimulus/S 95	96	309002
310.201	0.0	Stimulus/S 68	69	310201
311.301	0.0	Stimulus/S 22	23	311301
312.4	0.0	Stimulus/S129	130	312400
312.913	0.0	Stimulus/S222	132	312913
313.9	0.0	Stimulus/S  2	3	313900
315.0	0.0	Stimulus/S106	107	315000
316.099	0.0	Stimulus/S128	129	316099
317.299	0.0	Stimulus/S 58	59	317299
318.398	0.0	Stimulus/S129	130	318398
319.105	0.0	Stimulus/S222	132	319105
319.898	0.0	Stimulus/S 42	43	319898
321.197	0.0	Stimulus/S120	121	321197
322.397	0.0	Stimulus/S 46	47	322397
323.497	0.0	Stimulus/S 23	24	323497
324.796	0.0	Stimulus/S129	130	324796
325.441	0.0	Stimulus/S222	132	325441
326.296	0.0	Stimulus/S 33	34	326296
327.396	0.0	Stimulus/S121	122	327396
328.495	0.0	Stimulus/S 76	77	328495
329.794	0.0	Stimulus/S 37	38	329794
330.895	0.0	Stimulus/S  6	7	330895
331.994	0.0	Stimulus/S129	130	331994
332.721	0.0	Stimulus/S222	132	332721
333.493	0.0	Stimulus/S112	113	333493
334.593	0.0	Stimulus/S 29	30	334593
335.892	0.0	Stimulus/S 40	41	335892
336.992	0.0	Stimulus/S 57	58	336992
338.092	0.0	Stimulus/S129	130	338092
338.641	0.0	Stimulus/S222	132	338641
339.608	0.0	Stimulus/S 17	18	339608
340.808	0.0	Stimulus/S110	111	340808
342.107	0.0	Stimulus/S 62	63	342107
343.307	0.0	Stimulus/S 76	77	343307
344.407	0.0	Stimulus/S 65	66	344407
345.506	0.0	Stimulus/S129	130	345506
346.017	0.0	Stimulus/S222	132	346017
347.006	0.0	Stimulus/S 48	49	347006
348.305	0.0	Stimulus/S 31	32	348305
349.505	0.0	Stimulus/S 82	83	349505
350.605	0.0	Stimulus/S 53	54	350605
351.704	0.0	Stimulus/S 96	97	351704
353.004	0.0	Stimulus/S129	130	353004
353.441	0.0	Stimulus/S222	132	353441
354.503	0.0	Stimulus/S128	129	354503
355.803	0.0	Stimulus/S  2	3	355803
357.003	0.0	Stimulus/S 46	47	357003
358.202	0.0	Stimulus/S 84	85	358202
359.402	0.0	Stimulus/S 44	45	359402
360.701	0.0	Stimulus/S129	130	360701
361.441	0.0	Stimulus/S222	132	361441
362.201	0.0	Stimulus/S 60	61	362201
363.301	0.0	Stimulus/S 17	18	363301
364.5	0.0	Stimulus/S 58	59	364500
365.7	0.0	Stimulus/S109	110	365700
366.799	0.0	Stimulus/S  5	6	366799
367.899	0.0	Stimulus/S129	130	367899
368.561	0.0	Stimulus/S222	132	368561
369.398	0.0	Stimulus/S 92	93	369398
370.698	0.0	Stimulus/S 51	52	370698
371.898	0.0	Stimulus/S117	118	371898
372.997	0.0	Stimulus/S129	130	372997
373.665	0.0	Stimulus/S222	132	373665
374.497	0.0	Stimulus/S 64	65	374497
375.597	0.0	Stimulus/S 26	27	375597
376.896	0.0	Stimulus/S 33	34	376896
378.195	0.0	Stimulus/S 97	98	378195
379.495	0.0	Stimulus/S129	130	379495
380.273	0.0	Stimulus/S222	132	380273
380.994	0.0	Stimulus/S 96	97	380994
382.195	0.0	Stimulus/S 44	45	382195
383.394	0.0	Stimulus/S 84	85	383394
384.494	0.0	Stimulus/S129	130	384494
385.137	0.0	Stimulus/S222	132	385137
385.993	0.0	Stimulus/S 69	70	385993
387.093	0.0	Stimulus/S 10	11	387093
388.392	0.0	Stimulus/S 22	23	388392
389.492	0.0	Stimulus/S123	124	389492
390.608	0.0	Stimulus/S 28	29	390608
391.908	0.0	Stimulus/S129	130	391908
392.625	0.0	Stimulus/S222	132	392625
393.407	0.0	Stimulus/S108	109	393407
394.507	0.0	Stimulus/S  9	10	394507
395.707	0.0	Stimulus/S 64	65	395707
396.806	0.0	Stimulus/S 41	42	396806
398.106	0.0	Stimulus/S 59	60	398106
399.306	0.0	Stimulus/S129	130	399306
400.113	0.0	Stimulus/S222	132	400113
400.805	0.0	Stimulus/S  1	2	400805
402.004	0.0	Stimulus/S 25	26	402004
403.304	0.0	Stimulus/S102	103	403304
404.603	0.0	Stimulus/S 10	11	404603
405.803	0.0	Stimulus/S129	130	405803
406.289	0.0	Stimulus/S222	132	406289
407.303	0.0	Stimulus/S 89	90	407303
408.403	0.0	Stimulus/S 51	52	408403
409.702	0.0	Stimulus/S 36	37	409702
410.802	0.0	Stimulus/S 80	81	410802
412.101	0.0	Stimulus/S129	130	412101
412.77	0.0	Stimulus/S222	132	412770
413.601	0.0	Stimulus/S 49	50	413601
414.701	0.0	Stimulus/S  5	6	414701
416.0	0.0	Stimulus/S 48	49	416000
417.299	0.0	Stimulus/S126	127	417299
418.4	0.0	Stimulus/S120	121	418400
419.699	0.0	Stimulus/S129	130	419699
420.465	0.0	Stimulus/S222	132	420465
